,player_id,name,team,pos,round,opponents,was_home,team_goals,opposition_goals,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,ict_index,big_chances_created,value,selected,transfers_in,transfers_out
0,1,Ospina,Arsenal,Goalkeeper,1,Liverpool,TRUE,3,4,0,0,0,0,0,0,0,0,0,5,6064,0,0
1,1,Ospina,Arsenal,Goalkeeper,2,Leicester City,FALSE,0,0,0,0,0,0,0,0,0,0,0,5,7400,153,731
2,1,Ospina,Arsenal,Goalkeeper,3,Watford,FALSE,3,1,0,0,0,0,0,0,0,0,0,5,7708,150,721
3,1,Ospina,Arsenal,Goalkeeper,4,Southampton,TRUE,2,2,0,0,0,0,0,0,0,0,0,4.9,8072,183,632
4,1,Ospina,Arsenal,Goalkeeper,5,Hull City,FALSE,4,3,0,0,0,0,0,0,0,0,0,4.9,8379,172,330
5,1,Ospina,Arsenal,Goalkeeper,6,Chelsea,TRUE,3,1,0,0,0,0,0,0,0,0,0,4.9,8632,158,427
6,1,Ospina,Arsenal,Goalkeeper,7,Burnley,FALSE,1,0,0,0,0,0,0,0,0,0,0,4.9,8699,106,359
7,1,Ospina,Arsenal,Goalkeeper,8,Swansea City,TRUE,3,2,0,0,0,0,0,0,0,0,0,4.9,8856,88,344
8,1,Ospina,Arsenal,Goalkeeper,9,Middlesbrough,TRUE,0,0,0,0,0,0,0,0,0,0,0,4.8,8844,48,248
9,1,Ospina,Arsenal,Goalkeeper,10,Sunderland,FALSE,4,2,0,0,0,0,0,0,0,0,0,4.8,8863,40,201
10,1,Ospina,Arsenal,Goalkeeper,11,Tottenham Hotspur,TRUE,1,1,0,0,0,0,0,0,0,0,0,4.8,8861,61,226
11,1,Ospina,Arsenal,Goalkeeper,12,Manchester United,FALSE,1,1,0,0,0,0,0,0,0,0,0,4.8,8975,73,200
12,1,Ospina,Arsenal,Goalkeeper,13,Bournemouth,TRUE,3,1,0,0,0,0,0,0,0,0,0,4.8,9003,46,127
13,1,Ospina,Arsenal,Goalkeeper,14,West Ham United,FALSE,5,0,0,0,0,0,0,0,0,0,0,4.8,9042,55,141
14,1,Ospina,Arsenal,Goalkeeper,15,Stoke City,TRUE,3,1,0,0,0,0,0,0,0,0,0,4.8,9068,57,145
15,1,Ospina,Arsenal,Goalkeeper,16,Everton,FALSE,1,2,0,0,0,0,0,0,0,0,0,4.8,9084,42,95
