,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,ict_form,total_points,Predicted,Prediction_Error
15952,1,10,19,0.6666666666666666,2.0,1.0,1.3333333333333333,2.5,2,4.0,2.0
15239,3,10,17,1.8235294117647056,1.875,8.0,3.0,6.400000000000002,1,2.2,1.2000000000000002
9207,2,6,18,1.2222222222222223,0.8888888888888888,6.0,3.0,2.4666666666666663,2,4.1,2.0999999999999996
6403,1,17,10,0.6666666666666666,2.5,10.0,5.666666666666668,5.633333333333333,6,4.8,1.2000000000000002
18371,3,7,14,0.5882352941176471,2.117647058823529,1.0,1.6666666666666667,3.0000000000000013,2,3.8,1.7999999999999998
20654,3,18,14,1.25,2.125,1.0,2.6666666666666665,3.366666666666668,2,4.6,2.5999999999999996
1840,1,19,2,3.0,3.0,0.0,0.0,0.0,-1,-0.3,0.7
15154,2,14,12,2.090909090909091,1.8181818181818181,6.0,2.6666666666666665,2.7,1,2.3,1.2999999999999998
11048,3,9,1,2.125,1.4705882352941178,1.0,3.333333333333333,4.866666666666669,0,3.8,3.8
5143,1,19,7,0.6666666666666666,0.8333333333333334,2.0,1.3333333333333333,4.4,1,2.0,1.0
13358,2,17,12,1.3333333333333333,2.25,1.0,3.0,2.2333333333333347,1,5.0,4.0
15959,1,9,18,1.0,1.8571428571428568,6.0,3.0,2.4666666666666672,1,4.1,3.0999999999999996
13281,2,7,18,1.181818181818182,1.9090909090909087,6.0,6.333333333333332,3.800000000000003,7,8.4,1.4000000000000004
13289,3,7,3,2.6,1.5333333333333334,5.0,5.0,5.366666666666671,4,4.5,0.5
19552,2,16,15,0.8,1.4,0.0,3.333333333333333,2.3666666666666663,9,6.6,2.4000000000000004
21846,3,15,10,1.9473684210526316,1.3157894736842106,1.0,0.0,0.0,1,0.8,0.19999999999999996
2844,1,12,14,1.3333333333333333,1.6666666666666667,6.0,3.0,2.7000000000000006,1,3.5,2.5
499,2,15,6,1.7142857142857142,1.1428571428571428,6.0,5.0,3.566666666666665,1,5.0,4.0
5519,1,14,4,4.5,2.0,0.0,0.6666666666666666,3.233333333333333,0,0.1,0.1
829,1,16,19,1.0,1.3333333333333333,2.0,3.0,3.9333333333333336,1,5.6,4.6
11816,1,20,4,0.5,2.0,0.0,0.0,0.0,2,1.1,0.8999999999999999
4858,2,15,6,1.75,2.5,1.0,0.3333333333333333,1.2999999999999998,1,0.7,0.30000000000000004
5923,1,9,15,1.3333333333333333,1.6666666666666667,2.0,3.0,4.633333333333333,7,5.0,2.0
17750,1,14,4,0.0,2.0,1.0,0.0,0.0,1,1.0,0.0
15308,3,14,16,1.0714285714285714,1.7142857142857142,4.0,2.6666666666666665,4.733333333333333,2,3.7,1.7000000000000002
1485,2,4,10,0.9230769230769232,0.7692307692307693,1.0,1.0,2.0666666666666664,1,2.7,1.7000000000000002
2798,1,18,10,0.75,1.5,6.0,3.0,1.6333333333333335,2,3.3,1.2999999999999998
13536,1,19,6,1.3333333333333333,2.0,1.0,4.666666666666667,4.633333333333333,7,6.4,0.5999999999999996
3913,1,16,3,2.5,2.1666666666666665,0.0,0.3333333333333333,0.9000000000000009,1,0.5,0.5
1509,2,16,11,1.3076923076923077,1.5384615384615383,6.0,4.333333333333333,2.833333333333332,6,4.8,1.2000000000000002
3858,1,1,15,1.5,2.5,6.0,6.333333333333332,2.533333333333333,7,8.1,1.0999999999999996
1510,3,18,9,1.3846153846153846,2.4615384615384617,6.0,4.333333333333333,2.566666666666666,1,4.3,3.3
7409,1,3,9,1.6,0.8,-2.0,0.3333333333333333,1.7666666666666668,2,2.7,0.7000000000000002
15284,1,10,17,1.5,2.5,0.0,1.0,2.9333333333333336,1,3.3,2.3
8289,1,5,16,1.0,1.0,0.0,0.0,0.0,2,2.7,0.7000000000000002
3958,2,2,5,2.625,0.875,1.0,3.333333333333333,2.6333333333333337,2,4.6,2.5999999999999996
3935,3,16,14,0.6666666666666666,1.7647058823529411,2.0,1.3333333333333333,1.9666666666666668,1,2.9,1.9
13340,1,15,14,1.6666666666666667,2.0,1.0,1.0,0.8333333333333334,1,2.7,1.7000000000000002
857,1,16,19,1.0,1.3333333333333333,2.0,4.0,6.833333333333332,1,6.6,5.6
3181,1,7,9,1.5,2.75,4.0,2.0,6.2333333333333325,2,1.8,0.19999999999999996
2839,1,4,9,1.4,2.0,7.0,7.0,3.966666666666669,8,7.9,0.09999999999999964
512,1,16,4,2.0,2.0,1.0,0.0,0.0,1,0.1,0.9
5900,2,10,12,1.0,1.4,1.0,1.3333333333333333,5.033333333333332,2,2.8,0.7999999999999998
17577,2,2,17,1.0,1.5555555555555556,1.0,2.6666666666666665,0.9666666666666665,6,5.8,0.20000000000000018
5654,3,19,15,1.5714285714285714,1.7857142857142858,2.0,1.3333333333333333,4.0,1,2.4,1.4
16763,3,11,16,1.368421052631579,1.7894736842105263,-1.0,2.0,3.0666666666666664,1,4.9,3.9000000000000004
10302,2,15,2,2.1666666666666665,1.1666666666666667,2.0,1.3333333333333333,3.8666666666666663,2,0.9,1.1
11931,1,19,6,2.0,2.25,2.0,1.0,2.4333333333333336,1,1.0,0.0
1121,3,10,20,1.1666666666666667,1.8333333333333333,6.0,4.666666666666667,3.0000000000000004,8,6.3,1.7000000000000002
2049,2,15,9,1.2857142857142858,1.0,1.0,0.6666666666666666,3.4333333333333336,1,1.6,0.6000000000000001
9416,1,8,14,0.25,0.8,0.0,4.666666666666667,5.633333333333333,8,8.4,0.40000000000000036
3919,1,19,6,1.0,1.0,1.0,0.0,0.0,2,0.9,1.1
2144,2,13,18,0.625,1.7142857142857142,1.0,4.666666666666667,3.566666666666668,12,8.3,3.6999999999999993
17651,2,18,16,0.8571428571428571,0.7142857142857143,1.0,2.6666666666666665,1.6666666666666667,1,5.5,4.5
1113,1,8,1,4.2,2.0,2.0,3.333333333333333,3.766666666666668,1,2.7,1.7000000000000002
12016,2,13,2,3.125,2.1111111111111107,0.0,2.0,3.4666666666666663,0,2.1,2.1
450,2,14,20,1.25,1.25,2.0,1.3333333333333333,4.999999999999999,1,3.2,2.2
2168,2,9,5,2.272727272727273,1.9166666666666667,0.0,2.0,3.6999999999999984,0,2.9,2.9
3859,1,1,12,1.5,1.5,7.0,4.666666666666667,2.333333333333333,1,5.3,4.3
2794,1,4,14,2.0,2.0,2.0,0.0,0.0,2,1.1,0.8999999999999999
6176,2,19,15,1.2,1.3636363636363635,1.0,2.6666666666666665,3.1,1,5.0,4.0
2065,3,15,2,1.5714285714285714,1.1333333333333333,7.0,2.6666666666666665,4.533333333333335,1,0.8,0.19999999999999996
20585,3,10,18,0.8823529411764706,0.6470588235294118,0.0,3.333333333333333,2.5666666666666664,9,7.0,2.0
4295,2,12,17,1.1428571428571428,1.5714285714285714,1.0,0.6666666666666666,3.2999999999999994,1,2.6,1.6
377,2,15,14,1.5,1.2222222222222223,6.0,3.0,2.4666666666666672,2,3.4,1.4
7177,2,2,9,1.2222222222222223,1.4,10.0,6.0,6.2666666666666675,7,5.1,1.9000000000000004
6690,1,6,18,2.0,1.0,0.0,0.0,0.0,0,2.5,2.5
5643,2,19,5,2.125,0.75,1.0,1.3333333333333333,3.6666666666666674,1,1.6,0.6000000000000001
92,2,17,12,0.8571428571428571,1.7142857142857142,1.0,2.0,3.3666666666666667,5,3.8,1.2000000000000002
13436,2,15,17,0.6153846153846154,2.0769230769230766,1.0,4.0,2.766666666666667,10,7.3,2.7
1225,2,14,2,2.1538461538461537,1.3846153846153846,1.0,2.6666666666666665,3.5666666666666687,1,3.1,2.1
16757,3,14,18,0.9375,2.0625,1.0,3.0,2.766666666666666,7,5.8,1.2000000000000002
10286,1,17,10,1.5,2.25,2.0,4.333333333333333,4.033333333333334,2,6.0,4.0
2471,1,8,9,1.0,0.6666666666666666,2.0,4.666666666666667,1.666666666666666,6,7.2,1.2000000000000002
2048,1,13,3,2.4285714285714284,1.25,0.0,0.6666666666666666,2.7000000000000006,1,1.0,0.0
19549,2,14,19,0.7777777777777778,1.5555555555555556,1.0,3.0,3.4,6,6.1,0.09999999999999964
11137,1,10,7,1.0,2.5714285714285716,5.0,4.666666666666667,4.0,8,5.2,2.8
15332,2,7,9,1.125,2.0,8.0,3.6666666666666665,3.7000000000000006,1,2.9,1.9
376,2,14,19,0.7777777777777778,1.5555555555555556,1.0,3.0,2.566666666666667,6,6.2,0.20000000000000018
6525,2,11,14,0.9166666666666666,2.083333333333333,2.0,1.3333333333333333,1.9,2,2.9,0.8999999999999999
4690,1,5,8,1.5,1.75,2.0,3.333333333333333,3.0666666666666664,6,4.8,1.2000000000000002
153,1,5,13,3.0,3.0,0.0,0.0,0.0,5,1.2,3.8
8251,3,3,11,0.8947368421052632,1.1764705882352942,4.0,4.0,2.8000000000000003,1,5.5,4.5
7412,2,7,9,1.4285714285714286,1.0,6.0,3.0,5.166666666666666,1,2.7,1.7000000000000002
10293,2,16,10,1.875,1.25,8.0,3.6666666666666665,2.466666666666667,2,2.8,0.7999999999999998
2113,1,8,11,2.0,0.5,2.0,0.0,0.0,6,0.9,5.1
