,round,team_rank,opponent_team_rank,opp_pot,save_form,concede_pot,prev_points,form_points,total_points,Predicted,Prediction_Error
3693,1,17,19,1.4285714285714286,2.6666666666666665,2.0,1.0,1.3333333333333333,0,3.2,3.2
20052,2,3,4,2.2222222222222223,1.3333333333333333,1.2222222222222223,6.0,2.6666666666666665,2,1.7,0.30000000000000004
4478,2,14,5,2.1,3.333333333333333,1.6666666666666667,2.0,2.0,0,1.7,1.7
20505,2,20,8,0.6,4.0,0.8,1.0,1.3333333333333333,1,2.0,1.0
16684,3,15,12,1.2777777777777777,2.333333333333333,1.8333333333333333,6.0,5.0,7,5.5,1.5
432,2,13,6,1.1666666666666667,2.0,1.5,2.0,2.0,2,2.4,0.3999999999999999
21180,1,18,20,1.5,3.6666666666666665,2.5,5.0,4.333333333333333,6,5.3,0.7000000000000002
10146,2,17,2,2.1111111111111107,1.3333333333333333,1.75,2.0,3.0,1,3.2,2.2
4552,2,7,5,2.0,3.0,2.1818181818181817,7.0,5.333333333333333,8,4.0,4.0
3815,1,2,8,1.5,3.0,1.75,6.0,7.666666666666668,9,7.5,1.5
4454,2,18,5,1.75,1.6666666666666667,1.3846153846153846,0.0,1.0,2,1.9,0.10000000000000009
11631,1,20,4,0.5,3.6666666666666665,2.0,0.0,3.6666666666666665,10,4.3,5.7
15085,3,13,10,1.2142857142857142,5.666666666666668,0.7857142857142857,2.0,2.6666666666666665,2,2.8,0.7999999999999998
1020,1,10,15,1.4,2.6666666666666665,1.6,8.0,4.0,1,3.8,2.8
4819,2,14,19,0.5,3.6666666666666665,1.9,2.0,2.6666666666666665,4,4.3,0.2999999999999998
808,1,9,15,1.1666666666666667,2.0,1.1666666666666667,6.0,3.333333333333333,2,3.9,1.9
14072,2,5,6,1.375,2.333333333333333,0.625,6.0,3.6666666666666665,3,3.2,0.20000000000000018
13153,1,19,2,2.75,3.0,2.25,2.0,1.6666666666666667,2,0.8,1.2
2769,1,17,19,0.75,3.0,1.75,2.0,4.666666666666667,10,6.9,3.0999999999999996
71,3,5,7,1.0526315789473684,4.333333333333333,1.0,3.0,5.0,4,5.1,1.0999999999999996
15938,3,8,6,2.142857142857143,1.3333333333333333,1.6875,1.0,1.3333333333333333,2,1.9,0.10000000000000009
14078,2,2,8,1.2727272727272727,1.0,1.2727272727272727,6.0,4.666666666666667,6,4.8,1.2000000000000002
8169,2,2,14,1.7692307692307692,1.0,1.3846153846153846,2.0,5.0,7,7.0,0.0
6785,1,6,16,0.75,4.666666666666667,1.25,6.0,6.333333333333332,9,6.7,2.3
3830,2,2,18,0.8333333333333334,2.333333333333333,1.5,6.0,6.666666666666668,7,8.0,1.0
5864,2,10,8,1.7,3.0,2.1,2.0,2.0,3,2.0,1.0
16699,1,17,5,1.5,0.0,2.5,0.0,0.0,2,0.9,1.1
8987,2,6,8,1.2857142857142858,2.0,1.2857142857142858,2.0,2.0,2,2.6,0.6000000000000001
20045,1,1,16,1.0,1.0,1.0,2.0,3.333333333333333,6,5.4,0.5999999999999996
1982,2,10,16,0.6666666666666666,5.333333333333333,1.0769230769230769,3.0,7.333333333333332,9,8.7,0.3000000000000007
1962,1,13,2,0.5,6.0,1.0,10.0,5.666666666666668,3,2.8,0.20000000000000018
