player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
12,Sánchez,2016/17,1,14,2,3,4,4,3,0,0,2,0,0
13,Walcott,2016/17,1,14,2,3,4,4,3,0,0,5,0,0
15,Cazorla,2016/17,1,14,2,3,4,4,3,0,0,7,0,0
16,Ramsey,2016/17,1,14,2,3,4,4,3,0,0,2,0,0
18,Chamberlain,2016/17,1,14,2,3,4,4,3,0,0,6,0,0
20,Coquelin,2016/17,1,14,2,3,4,4,3,0,0,1,0,0
21,Iwobi,2016/17,1,14,2,3,4,4,3,0,0,3,0,0
22,Elneny,2016/17,1,14,2,3,4,4,3,0,0,2,0,0
24,Xhaka,2016/17,1,14,2,3,4,4,3,0,0,0,0,0
37,Arter,2016/17,1,20,1,3,3,4,3,0,0,2,0,0
39,Surman,2016/17,1,20,1,3,3,4,3,0,0,2,0,0
44,Gradel,2016/17,1,20,1,3,3,4,3,0,0,1,0,0
46,Ibe,2016/17,1,20,1,3,3,4,3,0,0,2,0,0
47,Lewis Cook,2016/17,1,20,1,3,3,4,3,0,0,2,0,0
48,King,2016/17,1,20,1,3,3,4,3,0,0,2,0,0
61,Jones,2016/17,1,18,6,0,1,1,0,0,0,1,0,0
62,Boyd,2016/17,1,18,6,0,1,1,0,0,0,2,0,0
63,Arfield,2016/17,1,18,6,0,1,1,0,0,0,3,0,0
64,Marney,2016/17,1,18,6,0,1,1,0,0,0,2,0,0
82,Hazard,2016/17,1,3,17,1,2,3,1,0,0,10,0,0
84,Oscar,2016/17,1,3,17,1,2,3,1,0,0,2,0,0
86,Willian,2016/17,1,3,17,1,2,3,1,0,0,2,0,0
87,Matic,2016/17,1,3,17,1,2,3,1,0,0,1,0,0
90,Pedro,2016/17,1,3,17,1,2,3,1,0,0,0,0,0
92,Moses,2016/17,1,3,17,1,2,3,1,0,0,1,0,0
95,Kanté,2016/17,1,3,17,1,2,3,1,0,0,1,0,0
109,Bolasie,2016/17,1,8,7,0,2,2,1,0,0,0,0,0
110,Puncheon,2016/17,1,19,7,0,2,2,1,0,0,2,0,0
111,Zaha,2016/17,1,19,7,0,2,2,1,0,0,1,0,0
112,Jedinak,2016/17,1,19,7,0,2,2,1,0,0,2,0,0
117,Lee Chung-yong,2016/17,1,19,7,0,2,2,1,0,0,3,0,0
118,Cabaye,2016/17,1,19,7,0,2,2,1,0,0,1,0,0
120,Townsend,2016/17,1,19,7,0,2,2,1,0,0,2,0,0
133,Mirallas,2016/17,1,8,12,0,1,2,0,0,0,5,0,0
134,Barkley,2016/17,1,8,12,0,1,2,0,0,0,10,0,0
135,Cleverley,2016/17,1,13,12,1,1,1,0,0,0,1,0,0
136,McCarthy,2016/17,1,8,12,0,1,2,0,0,0,2,0,0
137,Barry,2016/17,1,8,12,0,1,2,0,0,0,2,0,0
141,Deulofeu,2016/17,1,8,12,0,1,2,0,0,0,2,0,0
142,Lennon,2016/17,1,8,12,0,1,2,0,0,0,1,0,0
155,Snodgrass,2016/17,1,17,15,2,1,1,1,0,0,10,0,0
156,Clucas,2016/17,1,4,15,1,1,1,1,0,0,1,0,0
157,Livermore,2016/17,1,7,15,2,1,1,1,0,0,2,0,0
158,Elmohamady,2016/17,1,4,15,1,1,1,1,0,0,2,0,0
160,Huddlestone,2016/17,1,4,15,1,1,1,1,0,0,2,0,0
161,Meyler,2016/17,1,4,15,1,1,1,1,0,0,2,0,0
176,Mahrez,2016/17,1,15,4,1,1,1,1,0,0,8,0,0
178,King,2016/17,1,15,4,1,1,1,1,0,0,2,0,0
179,Drinkwater,2016/17,1,15,4,1,1,1,1,0,0,2,0,0
181,Gray,2016/17,1,15,4,1,1,1,1,0,0,5,0,0
182,Amartey,2016/17,1,15,4,1,1,1,1,0,0,1,0,0
201,Henderson,2016/17,1,2,14,4,3,3,4,0,0,2,0,0
202,Allen,2016/17,1,11,9,1,3,3,4,0,0,1,0,0
203,Coutinho,2016/17,1,2,14,4,3,3,4,0,0,15,0,0
204,Can,2016/17,1,2,14,4,3,3,4,0,0,1,0,0
205,Lallana,2016/17,1,2,14,4,3,3,4,0,0,11,0,0
209,Firmino,2016/17,1,2,14,4,3,3,4,0,0,2,0,0
212,Mané,2016/17,1,2,14,4,3,3,4,0,0,7,0,0
227,Delph,2016/17,1,5,16,2,1,1,1,0,0,1,0,0
228,Sterling,2016/17,1,5,16,2,1,1,1,0,0,5,0,0
230,Silva,2016/17,1,5,16,2,1,1,1,0,0,3,0,0
232,Navas,2016/17,1,5,16,2,1,1,1,0,0,4,0,0
233,Fernandinho,2016/17,1,5,16,2,1,1,1,0,0,2,0,0
235,De Bruyne,2016/17,1,5,16,2,1,1,1,0,0,2,0,0
237,Nolito,2016/17,1,5,16,2,1,1,1,0,0,1,0,0
256,Mata,2016/17,1,1,20,3,3,3,4,0,0,7,0,0
257,Fellaini,2016/17,1,1,20,3,3,3,4,0,0,2,0,0
258,Depay,2016/17,1,1,20,3,3,3,4,0,0,1,0,0
261,Januzaj,2016/17,1,16,5,1,2,1,1,0,0,1,0,0
262,Herrera,2016/17,1,1,20,3,3,3,4,0,0,1,0,0
264,Schneiderlin,2016/17,1,8,20,0,3,2,4,0,0,1,0,0
267,Martial,2016/17,1,1,20,3,3,3,4,0,0,11,0,0
268,Mkhitaryan,2016/17,1,1,20,3,3,3,4,0,0,1,0,0
281,Adomah,2016/17,1,9,11,3,1,4,3,0,0,2,0,0
282,Downing,2016/17,1,9,11,3,1,4,3,0,0,1,0,0
283,Clayton,2016/17,1,9,11,3,1,4,3,0,0,2,0,0
286,Forshaw,2016/17,1,9,11,3,1,4,3,0,0,1,0,0
290,de Roon,2016/17,1,9,11,3,1,4,3,0,0,1,0,0
304,Redmond,2016/17,1,10,13,0,1,2,1,0,0,10,0,0
305,Davis,2016/17,1,10,13,0,1,2,1,0,0,2,0,0
306,Ward-Prowse,2016/17,1,10,13,0,1,2,1,0,0,1,0,0
308,Tadic,2016/17,1,10,13,0,1,2,1,0,0,2,0,0
310,Oriol Romeu,2016/17,1,10,13,0,1,2,1,0,0,2,0,0
312,Højbjerg,2016/17,1,10,13,0,1,2,1,0,0,1,0,0
329,Whelan,2016/17,1,11,9,1,3,3,4,0,0,3,0,0
330,Walters,2016/17,1,11,9,1,3,3,4,0,0,1,0,0
331,Arnautovic,2016/17,1,11,9,1,3,3,4,0,0,1,0,0
333,Shaqiri,2016/17,1,11,9,1,3,3,4,0,0,9,0,0
334,Imbula,2016/17,1,11,9,1,3,3,4,0,0,3,0,0
335,Bojan,2016/17,1,11,9,1,3,3,4,0,0,2,0,0
350,Rodwell,2016/17,1,16,5,1,2,1,1,0,0,6,0,0
352,Khazri,2016/17,1,16,5,1,2,1,1,0,0,1,0,0
353,Watmore,2016/17,1,16,5,1,2,1,1,0,0,2,0,0
367,Cork,2016/17,1,6,18,1,0,0,1,0,0,3,0,0
368,Sigurdsson,2016/17,1,6,18,1,0,0,1,0,0,1,0,0
369,Routledge,2016/17,1,6,18,1,0,0,1,0,0,3,0,0
370,Britton,2016/17,1,6,18,1,0,0,1,0,0,1,0,0
373,Montero,2016/17,1,6,18,1,0,0,1,0,0,1,0,0
374,Ayew,2016/17,1,17,3,2,1,1,3,0,0,1,0,0
375,Fer,2016/17,1,6,18,1,0,0,1,0,0,11,0,0
390,Dier,2016/17,1,12,8,1,0,0,2,0,0,1,0,0
393,Lamela,2016/17,1,12,8,1,0,0,2,0,0,9,0,0
394,Eriksen,2016/17,1,12,8,1,0,0,2,0,0,2,0,0
398,Alli,2016/17,1,12,8,1,0,0,2,0,0,2,0,0
