,round,team_rank,opponent_team_rank,team_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error
4446,26,18,17,1.0769230769230769,1.1538461538461535,2.0,2.0,2.0,4.9,3,67477408.4,67477405.4
172,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2,-128940043.9,128940045.9
1611,27,4,20,1.7142857142857142,1.5714285714285714,8.0,8.666666666666666,8.6,12.999999999999998,16,59844720.0,59844704.0
21112,9,5,10,1.6,1.2,3.0,2.333333333333333,2.4,2.566666666666667,1,-14895076.8,14895077.8
17057,28,11,14,0.8571428571428571,1.4285714285714286,2.0,1.6666666666666667,3.8,1.8000000000000007,1,29876138.3,29876137.3
1036,23,16,19,0.4166666666666667,1.25,2.0,2.333333333333333,3.8,7.133333333333336,2,41927166.9,41927164.9
22587,33,7,14,2.3529411764705883,1.3529411764705883,1.0,1.6666666666666667,1.6,4.766666666666667,1,64964018.3,64964017.3
5351,3,13,19,1.0,2.5,2.0,2.6666666666666665,0.0,3.766666666666666,3,23411266.7,23411263.7
12168,22,9,6,1.2727272727272727,1.0909090909090908,2.0,1.6666666666666667,1.8,1.833333333333334,2,768999.5,768997.5
2586,25,17,3,0.8461538461538461,1.6923076923076923,2.0,1.6666666666666667,2.0,2.1333333333333337,1,25502415.7,25502414.7
7265,22,12,16,1.0909090909090908,1.5454545454545454,2.0,3.6666666666666665,2.8,4.466666666666666,8,37249992.5,37249984.5
2989,6,17,5,1.6666666666666667,3.333333333333333,1.0,2.0,1.6,1.6333333333333335,4,36463845.7,36463841.7
7449,21,20,10,0.6363636363636364,2.090909090909091,1.0,1.3333333333333333,1.6,0.9333333333333322,2,42565291.9,42565289.9
17071,4,17,10,1.5,2.5,1.0,0.0,0.0,0.0,9,30943532.1,30943523.1
11501,17,7,10,1.4444444444444444,1.0,1.0,6.333333333333332,4.2,8.266666666666667,15,-2953939.6,2953954.6
15625,12,8,14,1.5,2.833333333333333,5.0,4.0,3.0,7.566666666666667,2,34455116.1,34455114.1
6550,1,20,1,0.0,3.0,0.0,0.0,0.0,0.0,2,-24837072.7,24837074.7
2265,21,7,14,0.7272727272727273,1.5454545454545454,1.0,1.3333333333333333,2.4,1.8666666666666665,2,-3346515.0,3346517.0
11517,35,9,17,1.5,2.055555555555556,1.0,1.0,1.4,0.16666666666666727,1,63473591.3,63473590.3
4182,21,17,12,1.5454545454545454,2.0,2.0,1.6666666666666667,1.6,2.266666666666667,1,64179397.6,64179396.6
5720,8,3,19,0.75,1.75,2.0,4.333333333333333,3.8,6.766666666666667,3,-22946850.9,22946853.9
2996,14,9,7,1.4285714285714286,1.0,1.0,1.3333333333333333,3.2,0.6,1,-10204638.6,10204639.6
2691,19,11,13,0.8,1.3636363636363635,1.0,1.6666666666666667,1.6,1.4333333333333331,2,6746583.2,6746581.2
6726,23,4,8,1.75,1.5,2.0,2.0,2.4,3.5999999999999965,3,6497524.7,6497521.7
2291,28,12,4,0.6428571428571429,0.7857142857142857,2.0,2.0,2.0,1.9333333333333336,2,-3436351.5,3436353.5
