,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
232,14,Sánchez,2017/2018,34,2,20,2.058823529,0.5294117647,0.4705882353,1.470588235,10,8.666666667,2,6.6,9.233333333
249,15,Walcott,2017/2018,34,9,17,0.7647058824,1,1.941176471,1.25,3,2.333333333,2,3,3.933333333
329,19,Oxlade-Chamberlain,2017/2018,34,3,11,2.411764706,0.9411764706,0.5882352941,1.647058824,1,2.333333333,5,1.8,3.266666667
357,21,Iwobi,2017/2018,34,6,10,1.0625,1.058823529,1.625,0.9411764706,9,4.666666667,2,3.4,6
369,22,Elneny,2017/2018,34,6,10,1.0625,1.058823529,1.625,0.9411764706,-1,1,2,1.6,4.466666667
402,23,Xhaka,2017/2018,34,6,10,1.0625,1.058823529,1.625,0.9411764706,2,1.666666667,2,2.2,4.033333333
737,41,Surman,2017/2018,34,11,3,0.9411764706,2.411764706,1.647058824,0.5882352941,1,1,1,1.2,0.6333333333
780,43,Gosling,2017/2018,34,11,3,0.9411764706,2.411764706,1.647058824,0.5882352941,1,1.666666667,2,1.6,3.366666667
809,45,Ibe,2017/2018,34,11,3,0.9411764706,2.411764706,1.647058824,0.5882352941,2,4.333333333,1,3,6.033333333
835,46,Cook,2017/2018,34,11,3,0.9411764706,2.411764706,1.647058824,0.5882352941,2,2,2,2,2.333333333
857,47,Fraser,2017/2018,34,11,3,0.9411764706,2.411764706,1.647058824,0.5882352941,7,3.666666667,2,3.6,8.4
1140,62,Knockaert,2017/2018,34,13,16,0.5625,1.294117647,1.375,1.588235294,-1,0.6666666667,1,2.4,2.766666667
1171,63,Stephens,2017/2018,34,13,16,0.5625,1.294117647,1.375,1.588235294,2,1.333333333,1,3.2,2.933333333
1185,64,Kayal,2017/2018,34,13,16,0.5625,1.294117647,1.375,1.588235294,1,1,1,1.2,2.4
1216,66,March,2017/2018,34,13,16,0.5625,1.294117647,1.375,1.588235294,8,3.333333333,1,2.4,4.166666667
1253,70,Groß,2017/2018,34,13,16,0.5625,1.294117647,1.375,1.588235294,2,2,2,2.8,5.3
1475,84,Gudmundsson,2017/2018,34,7,8,0.875,1.588235294,0.8125,1.647058824,6,5.666666667,6,4.2,8.066666667
1529,86,Hendrick,2017/2018,34,7,8,0.875,1.588235294,0.8125,1.647058824,1,1,1,1.4,0.3666666667
1558,88,Westwood,2017/2018,34,7,8,0.875,1.588235294,0.8125,1.647058824,2,2,2,1.8,3.466666667
1594,90,Cork,2017/2018,34,7,8,0.875,1.588235294,0.8125,1.647058824,10,4.333333333,2,3.6,4.066666667
1912,104,Hazard,2017/2018,34,5,18,1.8125,1.058823529,1.125,1.411764706,2,3.666666667,7,3.2,12.23333333
1941,105,Fàbregas,2017/2018,34,5,18,1.8125,1.058823529,1.125,1.411764706,2,2,2,2.2,7.733333333
1973,106,Borges Da Silva,2017/2018,34,5,18,1.8125,1.058823529,1.125,1.411764706,2,2.666666667,4,4,11.13333333
2006,107,Matic,2017/2018,34,2,20,2.058823529,0.5294117647,0.4705882353,1.470588235,2,2.333333333,2,3.6,3.666666667
2026,108,Loftus-Cheek,2017/2018,34,16,13,1.294117647,0.5625,1.588235294,1.375,2,1.666666667,2,1.6,2.966666667
2052,109,Rodríguez Ledesma,2017/2018,34,5,18,1.8125,1.058823529,1.125,1.411764706,1,1,1,1.2,1.1
2061,110,Nunes do Nascimento,2017/2018,34,10,6,1.058823529,1.0625,0.9411764706,1.625,3,3.666666667,2,5.8,5.3
2090,111,Kanté,2017/2018,34,5,18,1.8125,1.058823529,1.125,1.411764706,3,2.333333333,2,3,3.533333333
2295,126,Zaha,2017/2018,34,16,13,1.294117647,0.5625,1.588235294,1.375,7,8.666666667,14,6.6,12.46666667
2324,127,McArthur,2017/2018,34,16,13,1.294117647,0.5625,1.588235294,1.375,2,2.666666667,5,2.6,4.6
2356,129,Cabaye,2017/2018,34,16,13,1.294117647,0.5625,1.588235294,1.375,4,2.666666667,2,2.4,2.3
2404,131,Townsend,2017/2018,34,16,13,1.294117647,0.5625,1.588235294,1.375,5,3,2,3.4,7.633333333
2436,132,Milivojevic,2017/2018,34,16,13,1.294117647,0.5625,1.588235294,1.375,10,9.333333333,9,8,8.133333333
2642,147,Bolasie,2017/2018,34,9,17,0.7647058824,1,1.941176471,1.25,3,4,2,4,4.5
2703,153,Lennon,2017/2018,34,7,8,0.875,1.588235294,0.8125,1.647058824,2,2.666666667,1,3,3.233333333
2729,154,Schneiderlin,2017/2018,34,9,17,0.7647058824,1,1.941176471,1.25,3,2.666666667,3,2,2.5
2758,155,Gueye,2017/2018,34,9,17,0.7647058824,1,1.941176471,1.25,1,3,6,2.4,4.233333333
3047,172,Mooy,2017/2018,34,14,12,0.9411764706,1,1.294117647,1.764705882,2,2,3,2,3.966666667
3077,173,van La Parra,2017/2018,34,14,12,0.9411764706,1,1.294117647,1.764705882,2,2.333333333,3,2.2,2.866666667
3103,174,Hogg,2017/2018,34,14,12,0.9411764706,1,1.294117647,1.764705882,2,2,3,2,3.333333333
3116,175,Billing,2017/2018,34,14,12,0.9411764706,1,1.294117647,1.764705882,1,1,1,0.8,0.8666666667
3176,182,Ince,2017/2018,34,14,12,0.9411764706,1,1.294117647,1.764705882,2,3.333333333,6,2.8,4.266666667
3487,199,Mahrez,2017/2018,34,8,7,1.588235294,0.875,1.647058824,0.8125,2,2.333333333,2,5.6,6.766666667
3536,201,King,2017/2018,34,17,9,1,0.7647058824,1.25,1.941176471,2,2,2,3.2,2.166666667
3578,203,Gray,2017/2018,34,8,7,1.588235294,0.875,1.647058824,0.8125,1,2.333333333,2,2.2,3.4
3937,225,Henderson,2017/2018,34,3,11,2.411764706,0.9411764706,0.5882352941,1.647058824,3,2.666666667,3,2.8,4.2
4014,230,Mané,2017/2018,34,3,11,2.411764706,0.9411764706,0.5882352941,1.647058824,3,5.666666667,8,6.6,9.266666667
4046,232,Wijnaldum,2017/2018,34,3,11,2.411764706,0.9411764706,0.5882352941,1.647058824,3,2.666666667,3,2.4,3.466666667
4078,234,Salah,2017/2018,34,3,11,2.411764706,0.9411764706,0.5882352941,1.647058824,7,14.66666667,8,10.8,20.26666667
4264,246,Delph,2017/2018,34,1,4,2.352941176,2.066666667,0.7058823529,0.7333333333,2,1.333333333,1,1.8,1.366666667
4293,247,Sterling,2017/2018,34,1,4,2.352941176,2.066666667,0.7058823529,0.7333333333,4,7,10,7,13.13333333
4320,248,Silva,2017/2018,34,1,4,2.352941176,2.066666667,0.7058823529,0.7333333333,2,5,2,8,9.9
4327,249,Touré,2017/2018,34,1,4,2.352941176,2.066666667,0.7058823529,0.7333333333,1,1,1,1.4,0.4
4390,252,De Bruyne,2017/2018,34,1,4,2.352941176,2.066666667,0.7058823529,0.7333333333,1,2.333333333,1,2.6,7.233333333
4415,253,Gündogan,2017/2018,34,1,4,2.352941176,2.066666667,0.7058823529,0.7333333333,8,6.333333333,10,4.4,6.2
4443,255,Sané,2017/2018,34,1,4,2.352941176,2.066666667,0.7058823529,0.7333333333,5,5,2,4.2,7.666666667
4474,256,Veiga de Carvalho e Silva,2017/2018,34,1,4,2.352941176,2.066666667,0.7058823529,0.7333333333,2,1.333333333,1,3.2,1.733333333
4745,274,Mata,2017/2018,34,2,20,2.058823529,0.5294117647,0.4705882353,1.470588235,3,2.333333333,2,1.8,5.1
4785,277,Young,2017/2018,34,2,20,2.058823529,0.5294117647,0.4705882353,1.470588235,2,2.333333333,2,2.2,2.166666667
4807,278,Herrera,2017/2018,34,2,20,2.058823529,0.5294117647,0.4705882353,1.470588235,4,2,1,1.6,2.433333333
4836,279,Lingard,2017/2018,34,2,20,2.058823529,0.5294117647,0.4705882353,1.470588235,2,3,1,2.4,4.1
4863,280,Martial,2017/2018,34,2,20,2.058823529,0.5294117647,0.4705882353,1.470588235,5,2.666666667,1,2.2,5.733333333
