,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error,player_id,name
755,31,10,20,1.4375,0.5,1.625,1.5625,7.0,6.333333333333332,5.6,10.800000000000002,10,5.5,4.5,42,Stanislas
777,31,10,20,1.4375,0.5,1.625,1.5625,1.0,1.3333333333333333,2.8,4.466666666666669,2,1.8,0.19999999999999996,43,Gosling
807,31,10,20,1.4375,0.5,1.625,1.5625,1.0,4.0,4.6,4.833333333333331,10,5.3,4.7,45,Ibe
832,31,10,20,1.4375,0.5,1.625,1.5625,2.0,2.0,2.6,2.6,2,2.6,-0.6000000000000001,46,Cook
2023,31,16,15,0.75,0.9375,1.5625,1.375,2.0,3.333333333333333,3.6,3.133333333333337,1,3.8,-2.8,108,Loftus-Cheek
2292,31,16,15,0.75,0.9375,1.5625,1.375,4.0,3.0,2.6,7.399999999999999,3,2.3,0.7000000000000002,126,Zaha
2321,31,16,15,0.75,0.9375,1.5625,1.375,2.0,2.333333333333333,2.2,3.4333333333333336,3,2.5,0.5,127,McArthur
2353,31,16,15,0.75,0.9375,1.5625,1.375,2.0,2.0,1.8,7.0666666666666655,2,1.8,0.19999999999999996,129,Cabaye
2401,31,16,15,0.75,0.9375,1.5625,1.375,2.0,4.666666666666667,3.8,7.5000000000000036,6,5.2,0.7999999999999998,131,Townsend
2433,31,16,15,0.75,0.9375,1.5625,1.375,2.0,4.666666666666667,4.8,4.333333333333335,10,5.4,4.6,132,Milivojevic
2639,31,9,19,0.75,1.0625,2.0,1.5625,6.0,3.0,2.4,3.966666666666667,2,2.0,0.0,147,Bolasie
2726,31,9,19,0.75,1.0625,2.0,1.5625,1.0,1.3333333333333333,1.2,1.0666666666666658,1,2.0,-1.0,154,Schneiderlin
2756,31,9,19,0.75,1.0625,2.0,1.5625,2.0,1.6666666666666667,2.0,3.7,2,1.8,0.19999999999999996,155,Gueye
2785,31,9,19,0.75,1.0625,2.0,1.5625,3.0,1.6666666666666667,2.8,0.7333333333333335,1,1.6,-0.6000000000000001,156,Davies
3044,31,15,16,0.9375,0.75,1.375,1.5625,3.0,3.6666666666666665,2.8,7.133333333333333,1,3.7,-2.7,172,Mooy
3074,31,15,16,0.9375,0.75,1.375,1.5625,3.0,2.0,4.6,4.166666666666667,1,1.6,-0.6000000000000001,173,van La Parra
3100,31,15,16,0.9375,0.75,1.375,1.5625,3.0,1.6666666666666667,1.8,3.8333333333333326,1,1.4,-0.3999999999999999,174,Hogg
3143,31,15,16,0.9375,0.75,1.375,1.5625,6.0,3.0,2.8,3.1333333333333324,1,2.0,-1.0,181,Kachunga
3174,31,15,16,0.9375,0.75,1.375,1.5625,3.0,2.0,1.8,5.200000000000002,2,1.7,0.30000000000000004,182,Ince
3934,31,3,11,2.375,1.0625,0.625,1.8125,3.0,3.0,2.6,3.133333333333335,3,3.4,-0.3999999999999999,225,Henderson
3977,31,3,11,2.375,1.0625,0.625,1.8125,2.0,2.0,4.2,2.433333333333335,1,2.4,-1.4,227,Can
4011,31,3,11,2.375,1.0625,0.625,1.8125,7.0,8.0,6.8,7.866666666666667,9,7.9,1.0999999999999996,230,Mané
4043,31,3,11,2.375,1.0625,0.625,1.8125,1.0,2.333333333333333,1.8,1.800000000000001,3,3.5,-0.5,232,Wijnaldum
4076,31,3,11,2.375,1.0625,0.625,1.8125,2.0,13.0,12.4,16.600000000000005,29,15.4,13.6,234,Salah
5863,31,19,9,1.0625,0.75,1.5625,2.0,1.0,3.6666666666666665,3.4,3.833333333333332,7,4.6,2.4000000000000004,337,Allen
5876,31,19,9,1.0625,0.75,1.5625,2.0,0.0,-1.0,0.4,1.6666666666666672,-2,-0.9,-1.1,338,Adam
5936,31,19,9,1.0625,0.75,1.5625,2.0,2.0,2.333333333333333,5.2,4.066666666666668,2,2.3,-0.2999999999999998,342,Shaqiri
5958,31,19,9,1.0625,0.75,1.5625,2.0,1.0,1.3333333333333333,1.4,1.3999999999999997,2,1.8,0.19999999999999996,345,Sobhi
7134,31,11,3,1.0625,2.375,1.8125,0.625,2.0,2.0,2.0,1.7000000000000002,2,1.7,0.30000000000000004,409,Capoue
