,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,ict_form,total_points,Predicted,Prediction_Error,player_id,name
156,33,6,18,0.9375,1.1176470588235294,6.0,2.6666666666666665,2.2000000000000006,1,2.4,1.4,11,Holding
180,33,6,18,0.9375,1.1176470588235294,8.0,7.0,4.633333333333333,1,6.4,5.4,12,Mustafi
204,33,6,18,0.9375,1.1176470588235294,6.0,2.333333333333333,3.6666666666666687,1,1.7,0.7,13,Kolasinac
559,33,11,17,0.8235294117647058,1.6470588235294117,1.0,0.3333333333333333,5.033333333333333,0,0.7,0.7,32,Francis
589,33,11,17,0.8235294117647058,1.6470588235294117,1.0,2.6666666666666665,5.500000000000003,5,3.4,1.6,33,Cook
620,33,11,17,0.8235294117647058,1.6470588235294117,1.0,2.333333333333333,4.533333333333332,1,3.2,2.2,34,Daniels
683,33,11,17,0.8235294117647058,1.6470588235294117,4.0,2.333333333333333,3.3333333333333366,1,2.3,1.2999999999999998,38,Aké
1032,33,13,16,0.6470588235294118,1.4117647058823528,1.0,1.3333333333333333,4.899999999999996,2,2.0,0.0,55,Dunk
1064,33,13,16,0.6470588235294118,1.4117647058823528,1.0,1.0,2.3000000000000016,1,2.2,1.2000000000000002,56,Duffy
1106,33,13,16,0.6470588235294118,1.4117647058823528,0.0,0.3333333333333333,2.6,2,1.7,0.30000000000000004,59,Bong
1326,33,7,12,1.4705882352941178,0.9411764705882352,2.0,3.0,3.399999999999997,1,3.4,2.4,76,Lowton
1378,33,7,12,1.4705882352941178,0.9411764705882352,2.0,3.333333333333333,2.833333333333332,2,4.0,2.0,78,Ward
1404,33,7,12,1.4705882352941178,0.9411764705882352,2.0,3.6666666666666665,2.4666666666666663,2,4.4,2.4000000000000004,79,Tarkowski
1415,33,7,12,1.4705882352941178,0.9411764705882352,2.0,3.0,3.733333333333333,5,3.4,1.6,80,Long
1742,33,5,14,1.25,0.8823529411764706,1.0,5.0,7.0,11,5.8,5.2,97,Azpilicueta
1765,33,5,14,1.25,0.8823529411764706,2.0,1.6666666666666667,2.7,2,2.2,0.20000000000000018,98,Cahill
1795,33,19,4,1.9411764705882355,1.5882352941176472,1.0,1.0,0.8666666666666654,1,0.9,0.09999999999999998,99,Zouma
1825,33,5,14,1.25,0.8823529411764706,1.0,1.6666666666666667,5.366666666666664,2,2.1,0.10000000000000009,100,Alonso
1859,33,5,14,1.25,0.8823529411764706,4.0,2.6666666666666665,4.133333333333336,2,2.4,0.3999999999999999,102,Moses
1883,33,5,14,1.25,0.8823529411764706,1.0,1.3333333333333333,2.0333333333333328,2,2.4,0.3999999999999999,103,Rüdiger
2164,33,17,11,1.4705882352941178,1.5882352941176472,15.0,5.0,6.7,0,-0.1,0.1,117,Tomkins
2259,33,17,11,1.4705882352941178,1.5882352941176472,1.0,3.0,3.433333333333332,1,3.5,2.5,124,van Aanholt
2514,33,9,3,2.176470588235294,1.2352941176470589,1.0,3.0,3.200000000000001,6,2.9,3.1,138,Baines
2522,33,9,3,2.176470588235294,1.2352941176470589,1.0,3.0,1.5333333333333332,6,3.2,2.8,139,Coleman
2543,33,9,3,2.176470588235294,1.2352941176470589,1.0,2.6666666666666665,2.2,6,2.7,3.3,140,Jagielka
2628,33,9,3,2.176470588235294,1.2352941176470589,1.0,3.333333333333333,2.533333333333331,7,3.4,3.6,146,Keane
2933,33,16,13,1.2941176470588236,1.8823529411764703,1.0,1.0,2.3666666666666685,2,1.4,0.6000000000000001,164,Schindler
3014,33,16,13,1.2941176470588236,1.8823529411764703,2.0,1.6666666666666667,3.5666666666666664,2,1.6,0.3999999999999999,171,Jorgensen
3346,33,8,10,1.0625,1.1875,5.0,2.6666666666666665,2.0000000000000004,1,2.3,1.2999999999999998,191,Morgan
3394,33,8,10,1.0625,1.1875,5.0,2.333333333333333,1.6666666666666687,1,1.9,0.8999999999999999,193,Simpson
3416,33,8,10,1.0625,1.1875,11.0,5.666666666666668,5.900000000000001,1,2.9,1.9,196,Chilwell
3455,33,8,10,1.0625,1.1875,5.0,2.333333333333333,3.7333333333333294,0,1.5,1.5,198,Maguire
3776,33,3,9,1.5294117647058822,1.4705882352941178,1.0,3.333333333333333,2.9333333333333336,8,4.1,3.9000000000000004,215,Lovren
3791,33,3,9,1.5294117647058822,1.4705882352941178,0.0,0.0,0.0,6,1.0,5.0,217,Clyne
3853,33,3,9,1.5294117647058822,1.4705882352941178,1.0,6.0,3.833333333333334,6,7.1,1.0999999999999996,220,Klavan
3868,33,17,11,1.4705882352941178,1.5882352941176472,1.0,3.0,2.1666666666666683,1,3.8,2.8,221,Sakho
3897,33,3,9,1.5294117647058822,1.4705882352941178,6.0,6.0,6.76666666666667,6,4.6,1.4000000000000004,222,Milner
3913,33,3,9,1.5294117647058822,1.4705882352941178,2.0,1.3333333333333333,1.6666666666666672,1,1.5,0.5,223,Alexander-Arnold
4213,33,1,2,1.75,0.8125,2.0,4.666666666666667,3.933333333333333,6,4.8,1.2000000000000002,244,Kompany
4245,33,1,2,1.75,0.8125,2.0,3.6666666666666665,4.533333333333329,1,3.5,2.5,245,Otamendi
4596,33,2,1,3.3125,1.125,6.0,5.0,4.366666666666667,7,2.4,4.6,263,Smalling
4660,33,2,1,3.3125,1.125,7.0,3.0,2.3000000000000003,1,0.0,1.0,267,Valencia
4703,33,2,1,3.3125,1.125,0.0,0.6666666666666666,1.0333333333333323,1,0.1,0.9,271,Bailly
4718,33,2,1,3.3125,1.125,6.0,2.6666666666666665,1.4000000000000006,1,0.2,0.8,273,Lindelöf
5033,33,10,8,1.375,1.625,9.0,5.666666666666668,2.8333333333333326,2,3.8,1.7999999999999998,288,Yedlin
5081,33,10,8,1.375,1.625,5.0,4.333333333333333,2.200000000000001,1,3.8,2.8,290,Lascelles
5096,33,10,8,1.375,1.625,6.0,4.666666666666667,2.233333333333334,2,3.9,1.9,291,Dummett
5117,33,10,8,1.375,1.625,9.0,6.666666666666668,3.433333333333333,5,4.9,0.09999999999999964,294,Lejeune
5356,33,18,6,2.647058823529412,1.8125,1.0,1.0,2.533333333333333,1,0.2,0.8,307,Bertrand
5376,33,18,6,2.647058823529412,1.8125,1.0,2.6666666666666665,1.4000000000000017,1,2.4,1.4,308,Yoshida
5405,33,18,6,2.647058823529412,1.8125,1.0,3.6666666666666665,4.300000000000002,9,3.0,6.0,310,Soares
5427,33,3,9,1.5294117647058822,1.4705882352941178,2.0,4.666666666666667,3.0666666666666664,6,5.3,0.7000000000000002,311,van Dijk
5450,33,18,6,2.647058823529412,1.8125,0.0,-0.6666666666666666,2.333333333333332,-2,-1.5,0.5,313,Stephens
5766,33,19,4,1.9411764705882355,1.5882352941176472,1.0,0.6666666666666666,2.633333333333334,1,0.2,0.8,330,Shawcross
5811,33,19,4,1.9411764705882355,1.5882352941176472,1.0,2.333333333333333,2.7000000000000006,0,2.2,2.2,332,Pieters
5831,33,19,4,1.9411764705882355,1.5882352941176472,0.0,0.3333333333333333,3.8333333333333335,0,-0.1,0.1,335,Johnson
6119,33,15,20,1.0588235294117647,1.5294117647058822,1.0,3.333333333333333,2.2666666666666684,2,4.9,2.9000000000000004,352,Naughton
6149,33,15,20,1.0588235294117647,1.5294117647058822,1.0,3.0,3.533333333333335,2,4.2,2.2,354,Fernández
