,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,save_form,ict_form,total_points,Predicted,Prediction_Error,player_id,name
1000,34,13,16,1.2941176470588236,1.375,3.0,2.0,3.333333333333333,2.366666666666668,2,2.2,0.20000000000000018,54,Ryan
1709,34,5,18,1.0588235294117647,1.125,2.0,2.0,2.333333333333333,1.7666666666666668,2,3.0,1.0,94,Courtois
2130,34,16,13,0.5625,1.5882352941176472,2.0,1.3333333333333333,2.6666666666666665,1.4999999999999998,0,2.5,2.5,115,Hennessey
2497,34,9,17,1.0,1.9411764705882355,10.0,5.0,3.0,1.9333333333333336,4,3.0,1.0,135,Pickford
2901,34,14,12,1.0,1.2941176470588236,1.0,3.333333333333333,2.6666666666666665,2.2333333333333334,7,4.6,2.4000000000000004,163,Lössl
3318,34,8,7,0.875,1.6470588235294117,1.0,5.666666666666668,2.0,1.833333333333334,1,7.0,6.0,189,Schmeichel
3319,34,8,7,0.875,1.6470588235294117,0.0,0.0,0.0,0.0,1,2.0,1.0,190,Hamer
3751,34,3,11,0.9411764705882352,0.5882352941176471,6.0,4.333333333333333,1.3333333333333333,0.8999999999999994,6,4.5,1.5,214,Karius
4182,34,1,4,2.066666666666667,0.7058823529411765,1.0,1.6666666666666667,1.3333333333333333,1.3,2,2.4,0.3999999999999999,240,Santana de Moraes
4572,34,2,20,0.5294117647058824,0.4705882352941176,2.0,3.6666666666666665,3.0,2.7,3,4.9,1.9000000000000004,260,de Gea
5307,34,18,5,1.8125,1.4117647058823528,2.0,1.3333333333333333,2.6666666666666665,1.9,1,1.6,0.6000000000000001,305,McCarthy
6089,34,17,9,0.7647058823529411,1.25,2.0,2.333333333333333,2.6666666666666665,2.0999999999999983,3,3.3,0.2999999999999998,350,Fabianski
6513,34,4,1,2.3529411764705883,0.7333333333333333,3.0,2.333333333333333,3.0,1.7333333333333345,1,2.0,1.0,375,Lloris
7286,34,20,2,2.0588235294117645,1.4705882352941178,2.0,4.0,2.0,1.7,9,4.4,4.6,421,Foster
8064,34,7,8,1.5882352941176472,0.8125,3.0,2.6666666666666665,3.6666666666666665,3.066666666666668,4,2.4,1.6,469,Pope
8835,34,12,14,0.9411764705882352,1.7647058823529411,1.0,1.6666666666666667,2.0,1.1666666666666667,2,3.1,1.1,536,Karnezis
9110,34,10,6,1.0625,0.9411764705882352,2.0,3.333333333333333,0.6666666666666666,0.5666666666666669,2,4.9,2.9000000000000004,621,Dubravka
