player_id,name,pos,Predicted,total_points,Prediction_Error,round,concede_pot,opp_pot,team_rank,opponent_team_rank,form_points,ict_form,save_form,prev_points,opp_concede_pot,team_pot,long_form
12,Mustafi,Defender,5.6,12,6.4,30,1.133333333,1.133333333,6,10,4.666666667,4.766666667,0,1,0,0,0
13,Kolasinac,Defender,3,6,3,30,1.133333333,1.133333333,6,10,2,3.9,0,0,0,0,0
32,Francis,Defender,0.2,0,0.2,30,1.666666667,1.866666667,12,3,1,3.133333333,0,2,0,0,0
33,Cook,Defender,-0.2,0,0.2,30,1.666666667,1.866666667,12,3,1,4.666666667,0,2,0,0,0
34,Daniels,Defender,0.4,1,0.6,30,1.666666667,1.866666667,12,3,1,2,0,2,0,0,0
35,Smith,Defender,3.2,3,0.2,30,1.666666667,1.866666667,12,3,4,6.033333333,0,2,0,0,0
38,Aké,Defender,1.3,0,1.3,30,1.666666667,1.866666667,12,3,2,3.666666667,0,2,0,0,0
55,Dunk,Defender,0.4,1,0.6,30,1.266666667,1.666666667,11,9,3,4.9,0,8,0,0,0
56,Duffy,Defender,1.2,1,0.2,30,1.266666667,1.666666667,11,9,3,4.966666667,0,6,0,0,0
59,Bong,Defender,0.9,-1,1.9,30,1.266666667,1.666666667,11,9,1,1.866666667,0,2,0,0,0
76,Lowton,Defender,4,6,2,30,0.9333333333,1.142857143,7,16,5,4.866666667,0,7,0,0,0
77,Mee,Defender,4.1,6,1.9,30,0.9333333333,1.142857143,7,16,3.333333333,3.933333333,0,2,0,0,0
78,Ward,Defender,4.3,6,1.7,30,0.9333333333,1.142857143,7,16,3.333333333,2.933333333,0,2,0,0,0
79,Tarkowski,Defender,4.7,7,2.3,30,0.9333333333,1.142857143,7,16,3.666666667,3.266666667,0,2,0,0,0
97,Azpilicueta,Defender,3.1,3,0.1,30,0.7333333333,0.6666666667,5,18,2,3.333333333,0,2,0,0,0
98,Cahill,Defender,2.6,2,0.6,30,0.7333333333,0.6666666667,5,18,1,1.866666667,0,1,0,0,0
