,player_id,name,team,pos,round,opponents,venue,team_goals,opposition_goals,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,ict_index,big_chances_created,value,selected,transfers_in,transfers_out
1,1,Ospina,Arsenal,Goalkeeper,1,Liverpool,H,3,4,0,0,0,0,0,0,0,0,0,5,6064,0,0
2,1,Ospina,Arsenal,Goalkeeper,2,Leicester City,A,0,0,0,0,0,0,0,0,0,0,0,5,7400,153,731
3,1,Ospina,Arsenal,Goalkeeper,3,Watford,A,3,1,0,0,0,0,0,0,0,0,0,5,7708,150,721
4,1,Ospina,Arsenal,Goalkeeper,4,Southampton,H,2,1,0,0,0,0,0,0,0,0,0,4.9,8072,183,632
5,1,Ospina,Arsenal,Goalkeeper,5,Hull City,A,4,1,0,0,0,0,0,0,0,0,0,4.9,8379,172,330
6,1,Ospina,Arsenal,Goalkeeper,6,Chelsea,H,3,0,0,0,0,0,0,0,0,0,0,4.9,8632,158,427
7,1,Ospina,Arsenal,Goalkeeper,7,Burnley,A,1,0,0,0,0,0,0,0,0,0,0,4.9,8699,106,359
8,1,Ospina,Arsenal,Goalkeeper,8,Swansea City,H,3,2,0,0,0,0,0,0,0,0,0,4.9,8856,88,344
9,1,Ospina,Arsenal,Goalkeeper,9,Middlesbrough,H,0,0,0,0,0,0,0,0,0,0,0,4.8,8844,48,248
10,1,Ospina,Arsenal,Goalkeeper,10,Sunderland,A,4,1,0,0,0,0,0,0,0,0,0,4.8,8863,40,201
11,1,Ospina,Arsenal,Goalkeeper,11,Tottenham Hotspur,H,1,1,0,0,0,0,0,0,0,0,0,4.8,8861,61,226
12,1,Ospina,Arsenal,Goalkeeper,12,Manchester United,A,1,1,0,0,0,0,0,0,0,0,0,4.8,8975,73,200
13,1,Ospina,Arsenal,Goalkeeper,13,Bournemouth,H,3,1,0,0,0,0,0,0,0,0,0,4.8,9003,46,127
14,1,Ospina,Arsenal,Goalkeeper,14,West Ham United,A,5,1,0,0,0,0,0,0,0,0,0,4.8,9042,55,141
15,1,Ospina,Arsenal,Goalkeeper,15,Stoke City,H,3,1,0,0,0,0,0,0,0,0,0,4.8,9068,57,145
16,1,Ospina,Arsenal,Goalkeeper,16,Everton,A,1,2,0,0,0,0,0,0,0,0,0,4.8,9084,42,95
17,1,Ospina,Arsenal,Goalkeeper,17,Manchester City,A,1,2,0,0,0,0,0,0,0,0,0,4.8,9086,23,83
18,1,Ospina,Arsenal,Goalkeeper,18,West Bromwich Albion,H,1,0,0,0,0,0,0,0,0,0,0,4.7,9114,27,122
19,1,Ospina,Arsenal,Goalkeeper,19,Crystal Palace,H,2,0,0,0,0,0,0,0,0,0,0,4.7,9142,35,97
20,1,Ospina,Arsenal,Goalkeeper,20,Bournemouth,A,3,3,0,0,0,0,0,0,0,0,0,4.7,9140,28,76
21,1,Ospina,Arsenal,Goalkeeper,21,Swansea City,A,4,0,0,0,0,0,0,0,0,0,0,4.7,9236,71,173
22,1,Ospina,Arsenal,Goalkeeper,22,Burnley,H,2,1,0,0,0,0,0,0,0,0,0,4.7,9231,40,136
23,1,Ospina,Arsenal,Goalkeeper,23,Watford,H,1,2,0,0,0,0,0,0,0,0,0,4.7,9269,33,99
24,1,Ospina,Arsenal,Goalkeeper,24,Chelsea,A,1,3,0,0,0,0,0,0,0,0,0,4.7,9274,12,46
25,1,Ospina,Arsenal,Goalkeeper,25,Hull City,H,2,0,0,0,0,0,0,0,0,0,0,4.7,9330,62,93
26,1,Ospina,Arsenal,Goalkeeper,27,Liverpool,A,1,3,0,0,0,0,0,0,0,0,0,4.7,9389,31,55
27,1,Ospina,Arsenal,Goalkeeper,29,West Bromwich Albion,A,1,3,0,53,0,0,0,1,0,0.5,0,4.7,9405,15,53
28,1,Ospina,Arsenal,Goalkeeper,30,Manchester City,H,2,2,2,90,0,0,0,3,0,2.4,0,4.7,10030,565,86
29,1,Ospina,Arsenal,Goalkeeper,31,West Ham United,H,3,0,0,0,0,0,0,0,0,0,0,4.7,10784,803,108
30,1,Ospina,Arsenal,Goalkeeper,32,Crystal Palace,A,0,3,0,0,0,0,0,0,0,0,0,4.7,10201,82,671
31,1,Ospina,Arsenal,Goalkeeper,33,Middlesbrough,A,2,1,0,0,0,0,0,0,0,0,0,4.7,9820,42,448
32,1,Ospina,Arsenal,Goalkeeper,34,Leicester City,H,1,0,0,0,0,0,0,0,0,0,0,4.7,9646,18,216
33,1,Ospina,Arsenal,Goalkeeper,35,Tottenham Hotspur,A,0,2,0,0,0,0,0,0,0,0,0,4.7,9576,14,102
34,1,Ospina,Arsenal,Goalkeeper,36,Manchester United,H,2,0,0,0,0,0,0,0,0,0,0,4.7,9561,15,58
35,1,Ospina,Arsenal,Goalkeeper,36,Southampton,A,2,0,0,0,0,0,0,0,0,0,0,4.7,9561,15,58
36,1,Ospina,Arsenal,Goalkeeper,37,Stoke City,A,4,1,0,0,0,0,0,0,0,0,0,4.7,9546,15,56
37,1,Ospina,Arsenal,Goalkeeper,37,Sunderland,H,2,0,0,0,0,0,0,0,0,0,0,4.7,9546,15,56
38,1,Ospina,Arsenal,Goalkeeper,38,Everton,H,3,1,0,0,0,0,0,0,0,0,0,4.7,9567,19,32
39,2,Cech,Arsenal,Goalkeeper,1,Liverpool,H,3,4,1,90,0,0,0,3,0,2.4,0,5.5,558286,0,0
40,2,Cech,Arsenal,Goalkeeper,2,Leicester City,A,0,0,6,90,0,0,1,1,0,1,0,5.5,592228,9705,28979
41,2,Cech,Arsenal,Goalkeeper,3,Watford,A,3,1,4,90,0,0,0,6,0,3.3,0,5.5,614051,17832,25359
42,2,Cech,Arsenal,Goalkeeper,4,Southampton,H,2,1,1,90,0,0,0,5,0,2.3,0,5.5,646656,35440,28587
43,2,Cech,Arsenal,Goalkeeper,5,Hull City,A,4,1,1,90,0,0,0,1,0,0.3,0,5.5,641123,7651,22606
44,2,Cech,Arsenal,Goalkeeper,6,Chelsea,H,3,0,6,90,0,0,1,2,0,1.3,0,5.5,622298,9774,37453
45,2,Cech,Arsenal,Goalkeeper,7,Burnley,A,1,0,6,90,0,0,1,1,0,1.1,0,5.5,650195,29951,13237
46,2,Cech,Arsenal,Goalkeeper,8,Swansea City,H,3,2,2,90,0,0,0,4,0,3.6,0,5.5,691059,37183,10187
47,2,Cech,Arsenal,Goalkeeper,9,Middlesbrough,H,0,0,7,90,0,0,1,4,0,3.4,0,5.5,689520,11340,18497
48,2,Cech,Arsenal,Goalkeeper,10,Sunderland,A,4,1,1,90,0,0,0,0,0,0,0,5.5,706857,16254,6635
49,2,Cech,Arsenal,Goalkeeper,11,Tottenham Hotspur,H,1,1,2,90,0,0,0,2,0,1.7,0,5.5,690438,4656,26459
50,2,Cech,Arsenal,Goalkeeper,12,Manchester United,A,1,1,3,90,0,0,0,4,0,2.4,0,5.5,680776,4558,20929
51,2,Cech,Arsenal,Goalkeeper,13,Bournemouth,H,3,1,2,90,0,0,0,2,0,1.8,0,5.5,691619,14172,7066
52,2,Cech,Arsenal,Goalkeeper,14,West Ham United,A,5,1,2,90,0,0,0,2,0,1.7,0,5.5,692743,8313,10644
53,2,Cech,Arsenal,Goalkeeper,15,Stoke City,H,3,1,3,90,0,0,0,4,0,2.4,0,5.5,694907,10499,12442
54,2,Cech,Arsenal,Goalkeeper,16,Everton,A,1,2,1,90,0,0,0,2,0,1.8,0,5.5,682224,2036,16744
55,2,Cech,Arsenal,Goalkeeper,17,Manchester City,A,1,2,2,90,0,0,0,3,0,2.3,0,5.5,656629,967,27975
