assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,147,0,0,0,0.0,8281,0.0,0,2017-12-03T16:00:00Z,03 Dec 16:00,0,0,0,0,0,11,0,0,0,0,0,0,15,0,0,0,0,0,1,2,0.0,0,0,0,0,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,159,0,0,0,0.0,8855,0.0,0,2017-12-09T12:30:00Z,09 Dec 12:30,0,0,0,0,0,5,0,0,0,0,0,0,16,0,1272,0,0,0,0,1,0.0,0,876,1002,126,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,170,0,0,0,0.0,9432,0.0,0,2017-12-13T20:00:00Z,13 Dec 20:00,0,0,0,0,0,1,0,0,0,0,0,0,17,0,2256,0,0,0,0,0,0.0,0,744,883,139,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,178,0,0,0,0.0,10010,0.0,0,2017-12-16T16:00:00Z,16 Dec 16:00,0,0,0,0,0,15,0,0,0,0,0,0,18,0,2958,0,0,0,3,0,0.0,0,493,635,142,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,190,0,0,0,0.0,10590,0.0,0,2017-12-23T15:00:00Z,23 Dec 15:00,0,0,0,0,0,13,0,0,0,0,0,0,19,0,3942,0,0,0,3,2,0.0,0,698,968,270,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,191,0,0,0,0.0,11175,0.0,0,2017-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,2,0,0,0,0,0,0,20,0,4440,0,0,0,3,3,0.0,0,338,516,178,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,220,0,0,0,0.0,12347,0.0,0,2018-01-02T19:45:00Z,02 Jan 19:45,0,0,0,0,0,19,0,0,0,0,0,0,22,0,5874,0,0,0,1,2,0.0,0,459,739,280,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,208,0,0,0,0.0,12346,0.0,0,2018-01-04T20:00:00Z,04 Jan 20:00,0,0,0,0,0,17,0,0,0,0,0,0,22,0,5874,0,0,0,1,1,0.0,0,459,739,280,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,224,0,0,0,0.0,12939,0.0,0,2018-01-13T15:00:00Z,13 Jan 15:00,0,0,0,0,0,8,0,0,0,0,0,0,23,0,7199,0,0,0,4,1,0.0,0,1042,1481,439,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,240,0,0,0,0.0,13537,0.0,0,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,0,0,0,2,0,0,0,0,0,0,24,0,7830,0,0,0,1,1,0.0,0,453,742,289,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,243,0,0,0,0.0,14140,0.0,0,2018-01-30T19:45:00Z,30 Jan 19:45,0,0,0,0,0,6,0,0,0,0,0,0,25,0,8518,0,0,0,1,1,0.0,0,445,761,316,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,253,0,0,0,0.0,14753,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,0,0,0,3,0,0,0,0,0,0,26,0,8950,0,0,0,1,3,0.0,0,328,493,165,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,270,0,0,0,0.0,15378,0.0,0,2018-02-10T15:00:00Z,10 Feb 15:00,0,0,0,0,0,18,0,0,0,0,0,0,27,0,9483,0,0,0,0,2,0.0,0,363,628,265,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,574,0,0,277,0,0,0,0.0,16005,0.0,0,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,0,0,0,10,0,0,0,0,0,0,28,0,10086,0,0,0,1,4,0.0,0,323,600,277,40,False,0,0
