assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,62,0,0,0,0.0,3749,0.0,0,2017-09-30T16:30:00Z,30 Sep 17:30,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0.0,0,0,0,0,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,76,0,0,0,0.0,4303,0.0,0,2017-10-14T14:00:00Z,14 Oct 15:00,0,0,0,0,0,15,0,0,0,0,0,0,8,0,78,0,0,0,2,7,0.0,0,33,50,17,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,84,0,0,0,0.0,4860,0.0,0,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,0,0,0,4,0,0,0,0,0,0,9,0,118,0,0,0,0,3,0.0,0,13,30,17,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,100,0,0,0,0.0,5419,0.0,0,2017-10-28T14:00:00Z,28 Oct 15:00,0,0,0,0,0,19,0,0,0,0,0,0,10,0,149,0,0,0,3,2,0.0,0,5,32,27,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,110,0,0,0,0.0,5982,0.0,0,2017-11-05T14:15:00Z,05 Nov 14:15,0,0,0,0,0,1,0,0,0,0,0,0,11,0,173,0,0,0,1,3,0.0,0,2,25,23,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,116,0,0,0,0.0,6548,0.0,0,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,0,0,0,9,0,0,0,0,0,0,12,0,212,0,0,0,2,0,0.0,0,3,25,22,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,122,0,0,0,0.0,7117,0.0,0,2017-11-26T16:00:00Z,26 Nov 16:00,0,0,0,0,0,8,0,0,0,0,0,0,13,0,231,0,0,0,2,1,0.0,0,-2,15,17,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,139,0,0,0,0.0,7687,0.0,0,2017-11-29T20:00:00Z,29 Nov 20:00,0,0,0,0,0,14,0,0,0,0,0,0,14,0,245,0,0,0,1,2,0.0,0,4,17,13,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,147,0,0,0,0.0,8258,0.0,0,2017-12-03T16:00:00Z,03 Dec 16:00,0,0,0,0,0,20,0,0,0,0,0,0,15,0,261,0,0,0,1,2,0.0,0,8,19,11,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,551,0,0,155,0,0,0,0.0,8832,0.0,0,2017-12-10T16:30:00Z,10 Dec 16:30,0,0,0,0,0,12,0,0,0,0,0,0,16,0,272,0,0,0,2,1,0.0,0,-4,25,29,50,False,0,0
