assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,6,100,100,0,48844,0,0,-2,2,0.0,0,0,1,1.3,-0.2,0,David,0.3,0,0,0.5,1,False,5.0,0,0,0,0,20,,2017-11-18T12:31:16Z,48,0,0,0,48844.jpg,1.0,0,1,Ospina,0.2,False,13,a,1,3,0.0,1,2105,12,8702,18,0.1,0.2,Ospina,0
0,4,477,100,100,9,11334,0,0,-2,2,0.0,0,0,1,2.8,1.3,0,Petr,1.8,36,0,51.2,2,False,514.6,0,0,0,0,2409,,2018-02-10T12:31:19Z,53,0,0,0,11334.jpg,3.5,0,64,Cech,4.4,False,33,a,1,3,0.0,94,134967,354,253000,414,0.3,17.7,Cech,1
0,0,0,0,0,0,98980,0,0,0,0,0.0,0,0,1,0.0,0.0,0,Damian Emiliano,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Season-long loan to Getafe,2017-08-03T08:35:02Z,40,0,0,0,98980.jpg,0.0,0,0,Martinez,0.6,False,26,u,1,3,0.0,0,1424,4,28078,54,0.0,0.0,Martinez,0
0,16,511,100,100,9,51507,0,0,0,0,120.0,3,0,2,3.5,2.0,0,Laurent,2.5,26,2,86.3,4,False,628.0,0,0,0,0,1955,,2018-01-20T14:01:19Z,60,0,0,0,51507.jpg,4.4,0,0,Koscielny,1.8,False,6,a,1,3,113.0,96,178668,853,154051,543,0.4,16.0,Koscielny,4
0,2,77,100,100,0,17127,0,0,-3,3,3.0,1,0,2,1.0,-0.5,0,Per,0.0,7,1,15.7,5,False,115.4,0,0,0,0,351,,2017-11-18T12:31:16Z,47,0,0,0,17127.jpg,3.0,0,0,Mertesacker,0.5,False,4,a,1,3,38.0,15,30305,70,44670,76,0.0,3.2,Mertesacker,0
0,0,0,0,0,0,158074,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Gabriel Armando,0.0,0,0,0.0,6,False,0.0,0,0,0,0,0,Joined Valencia on 18/8,2017-07-12T10:31:11Z,50,0,0,0,158074.jpg,0.0,0,0,de Abreu,0.0,False,5,u,1,3,0.0,0,351,0,2262,4,0.0,0.0,Gabriel,0
2,7,488,None,None,9,98745,0,0,0,0,445.1,1,0,2,2.0,0.5,0,Héctor,1.0,36,2,131.6,7,False,424.2,0,0,0,0,2430,,None,60,0,0,0,98745.jpg,3.7,0,0,Bellerín,11.3,False,24,a,1,3,446.0,99,633651,2239,777016,2579,0.2,16.5,Bellerín,4
0,0,0,0,0,0,80254,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,0,0,0,0,Season-long loan to Birmingham,2017-08-22T14:57:50Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.1,False,25,u,1,3,0.0,0,736,1,13502,12,0.0,0.0,Jenkinson,0
2,14,543,75,100,9,38411,0,0,2,-2,205.3,2,0,2,2.8,2.3,0,Nacho,2.8,25,4,106.9,10,False,618.6,0,0,0,0,1923,Back injury - 75% chance of playing,2018-02-25T19:31:19Z,57,0,0,0,38411.jpg,4.9,0,0,Monreal,8.7,False,18,d,1,3,243.0,112,1315612,8870,1167147,5406,0.5,19.6,Monreal,3
1,0,101,100,100,1,156074,0,0,-6,6,35.3,0,0,2,1.0,-0.5,0,Rob,0.0,12,0,15.4,11,False,98.6,0,0,0,0,443,,2017-11-05T19:31:15Z,44,0,0,0,156074.jpg,1.7,0,0,Holding,0.6,False,16,a,1,3,20.0,12,25277,42,107453,63,0.0,2.7,Holding,2
1,7,420,100,100,7,69140,0,0,-1,1,97.9,1,0,2,2.8,1.3,0,Shkodran,1.8,18,2,81.8,12,False,577.0,0,0,0,0,1499,,2018-01-09T12:01:19Z,54,0,0,0,69140.jpg,4.1,0,0,Mustafi,2.9,False,20,a,1,3,142.0,74,399357,1395,371036,856,0.3,13.7,Mustafi,4
