,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
1770,49,Callum Wilson,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,2,0.0,0.0
1846,51,Grabban,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,4,0.0,0.0
1884,52,Afobe,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,1,0.0,0.0
2454,67,Vokes,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,2,0.0,0.0
2492,68,Gray,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,2,0.0,0.0
2530,69,Jutkiewicz,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0
3533,96,Batshuayi,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,4,0.0,0.0
3570,97,Costa,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,5,0.0,0.0
4495,122,Wickham,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,2,0.0,0.0
5324,144,Koné,2016/17,1,8,12,0.0,1.0,2.0,0.0,0.0,0.0,1,0.0,0.0
6045,163,Hernández,2016/17,1,4,15,1.0,1.0,1.0,1.0,0.0,0.0,5,0.0,0.0
6083,164,Diomande,2016/17,1,4,15,1.0,1.0,1.0,1.0,0.0,0.0,8,0.0,0.0
6824,184,Vardy,2016/17,1,15,4,1.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0
6861,185,Ulloa,2016/17,1,15,4,1.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0.0
6898,186,Okazaki,2016/17,1,15,4,1.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0.0
6935,187,Musa,2016/17,1,15,4,1.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0
8071,217,Origi,2016/17,1,2,14,4.0,3.0,3.0,4.0,0.0,0.0,1,0.0,0.0
8865,239,Agüero,2016/17,1,5,16,2.0,1.0,1.0,1.0,0.0,0.0,9,0.0,0.0
8938,241,Iheanacho,2016/17,1,5,16,2.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0.0
9950,269,Rooney,2016/17,1,1,20,3.0,3.0,3.0,4.0,0.0,0.0,7,0.0,0.0
10058,272,Ibrahimovic,2016/17,1,1,20,3.0,3.0,3.0,4.0,0.0,0.0,9,0.0,0.0
10760,291,Nugent,2016/17,1,9,11,3.0,1.0,4.0,3.0,0.0,0.0,1,0.0,0.0
11557,313,Long,2016/17,1,10,13,0.0,1.0,2.0,1.0,0.0,0.0,2,0.0,0.0
11593,314,Austin,2016/17,1,10,13,0.0,1.0,2.0,1.0,0.0,0.0,1,0.0,0.0
12443,337,Diouf,2016/17,1,11,9,1.0,3.0,3.0,4.0,0.0,0.0,2,0.0,0.0
13072,354,Borini,2016/17,1,16,5,1.0,2.0,1.0,1.0,0.0,0.0,2,0.0,0.0
13109,355,Defoe,2016/17,1,16,5,1.0,2.0,1.0,1.0,0.0,0.0,8,0.0,0.0
14020,379,Barrow,2016/17,1,6,18,1.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0
14911,403,Kane,2016/17,1,12,8,1.0,0.0,0.0,2.0,0.0,0.0,2,0.0,0.0
14985,405,Janssen,2016/17,1,12,8,1.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0
15725,425,Deeney,2016/17,1,13,10,1.0,0.0,1.0,2.0,0.0,0.0,5,0.0,0.0
15762,426,Ighalo,2016/17,1,13,10,1.0,0.0,1.0,2.0,0.0,0.0,2,0.0,0.0
16576,448,Berahino,2016/17,1,11,19,1.0,0.0,3.0,2.0,0.0,0.0,2,0.0,0.0
16613,449,Rondón,2016/17,1,7,19,2.0,0.0,1.0,2.0,0.0,0.0,8,0.0,0.0
17334,468,Carroll,2016/17,1,17,3,2.0,1.0,1.0,3.0,0.0,0.0,2,0.0,0.0
17372,469,Valencia,2016/17,1,8,3,0.0,1.0,2.0,3.0,0.0,0.0,5,0.0,0.0
17712,478,Negredo,2016/17,1,9,11,3.0,1.0,4.0,3.0,0.0,0.0,9,0.0,0.0
18524,500,Llorente,2016/17,1,6,18,1.0,0.0,0.0,1.0,0.0,0.0,5,0.0,0.0
868,25,Giroud,2016/17,2,13,15,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
1771,49,Callum Wilson,2016/17,2,20,10,0.0,2.0,0.0,0.0,2.0,0.0,2,0.0,0.0
1847,51,Grabban,2016/17,2,20,10,0.0,2.0,0.0,0.0,4.0,0.0,1,0.0,0.0
2455,67,Vokes,2016/17,2,8,11,1.0,2.0,0.5,2.5,2.0,0.0,9,0.0,0.0
2493,68,Gray,2016/17,2,8,11,1.0,2.0,0.5,2.5,2.0,0.0,10,0.0,0.0
2531,69,Jutkiewicz,2016/17,2,8,11,1.0,2.0,0.5,2.5,1.0,0.0,1,0.0,0.0
3534,96,Batshuayi,2016/17,2,4,14,0.0,2.0,2.0,2.0,4.0,0.0,6,0.0,0.0
3571,97,Costa,2016/17,2,4,14,0.0,2.0,2.0,2.0,5.0,0.0,5,0.0,0.0
4496,122,Wickham,2016/17,2,19,7,0.0,1.0,1.0,0.0,2.0,0.0,2,0.0,0.0
5287,143,Lukaku,2016/17,2,5,9,2.0,2.0,1.0,0.0,0.0,0.0,1,0.0,0.0
6046,163,Hernández,2016/17,2,3,12,2.0,0.0,2.0,2.0,5.0,0.0,6,0.0,0.0
6084,164,Diomande,2016/17,2,3,12,2.0,0.0,2.0,2.0,8.0,0.0,2,0.0,0.0
6825,184,Vardy,2016/17,2,15,13,0.0,0.0,0.0,0.0,2.0,0.0,2,0.0,0.0
