,assists,bonus,clean_sheets,creativity,id,fixture,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,opponent_team,round,saves,threat,total_points,value,was_home,season,first_name,name,team,opponents,position,opponent_position,team_goals,opposition_goals,team_pot
0,0,0,0,0.6,443,9,2,0,1.9,0.4,0,9,12,1,0,18.0,0,50,False,2017/2018,Aaron,Cresswell,West Ham United,Manchester United,20,1,0.0,4.0,0.0
1,0,0,0,52.9,443,15,3,0,7.4,21.2,4,90,14,2,0,0.0,1,50,False,2017/2018,Aaron,Cresswell,West Ham United,Southampton,20,7,2.0,3.0,1.0
2,0,0,0,1.6,443,26,3,0,2.4,11.2,0,90,13,3,0,11.0,1,50,False,2017/2018,Aaron,Cresswell,West Ham United,Newcastle United,20,14,0.0,3.0,0.6666666666666666
3,0,0,1,47.1,443,40,0,0,6.2,14.2,3,90,8,4,0,1.0,6,50,True,2017/2018,Aaron,Cresswell,West Ham United,Huddersfield Town,18,6,2.0,0.0,2.0
4,0,3,1,34.3,443,48,0,0,4.6,11.2,2,90,19,5,0,0.0,9,50,False,2017/2018,Aaron,Cresswell,West Ham United,West Bromwich Albion,17,10,0.0,0.0,0.5
5,0,0,0,14.3,443,58,3,0,2.8,11.4,0,90,17,6,0,2.0,1,50,True,2017/2018,Aaron,Cresswell,West Ham United,Tottenham Hotspur,18,4,2.0,3.0,2.0
6,0,0,1,33.8,443,67,0,0,5.7,22.8,2,90,16,7,0,0.0,6,50,True,2017/2018,Aaron,Cresswell,West Ham United,Swansea City,15,18,1.0,0.0,1.6666666666666667
7,0,0,0,1.3,443,72,1,0,0.8,6.4,0,90,4,8,0,0.0,2,50,False,2017/2018,Aaron,Cresswell,West Ham United,Burnley,15,7,1.0,1.0,0.6
8,0,0,0,0.0,443,90,0,0,0.0,0.0,0,0,3,9,0,0.0,0,50,True,2017/2018,Aaron,Cresswell,West Ham United,Brighton and Hove Albion,16,12,0.0,3.0,1.25
9,1,0,0,11.2,443,95,0,0,3.7,23.6,1,45,6,10,0,2.0,4,50,False,2017/2018,Aaron,Cresswell,West Ham United,Crystal Palace,16,20,2.0,2.0,0.8333333333333334
10,0,0,0,1.8,443,109,4,0,1.4,12.6,0,90,10,11,0,0.0,0,50,True,2017/2018,Aaron,Cresswell,West Ham United,Liverpool,18,5,1.0,4.0,1.2
11,0,0,0,1.4,443,119,2,0,0.8,4.6,0,90,18,12,0,2.0,1,50,False,2017/2018,Aaron,Cresswell,West Ham United,Watford,18,8,0.0,2.0,0.7142857142857143
12,0,0,0,16.2,443,129,1,0,3.6,20.2,1,90,9,13,0,0.0,2,50,True,2017/2018,Aaron,Cresswell,West Ham United,Leicester City,18,12,1.0,1.0,1.1666666666666667
13,0,0,0,1.9,443,138,4,0,1.2,4.4,0,90,7,14,0,6.0,0,50,False,2017/2018,Aaron,Cresswell,West Ham United,Everton,18,13,0.0,4.0,0.625
14,1,1,0,28.3,443,147,2,0,7.8,49.2,2,90,11,15,0,0.0,5,50,False,2017/2018,Aaron,Cresswell,West Ham United,Manchester City,19,1,1.0,2.0,0.6666666666666666
15,0,0,1,11.3,443,159,0,0,3.0,18.6,1,90,5,16,0,0.0,5,50,True,2017/2018,Aaron,Cresswell,West Ham United,Chelsea,18,3,1.0,0.0,1.1428571428571428
16,0,0,1,1.1,443,170,0,0,2.3,21.6,0,90,1,17,0,0.0,6,50,True,2017/2018,Aaron,Cresswell,West Ham United,Arsenal,19,7,0.0,0.0,1.0
17,0,2,1,15.4,443,178,0,0,4.5,29.6,1,90,15,18,0,0.0,8,50,False,2017/2018,Aaron,Cresswell,West Ham United,Stoke City,15,17,3.0,0.0,0.9
18,0,0,0,68.8,443,190,3,0,9.2,15.4,5,90,13,19,0,8.0,1,50,True,2017/2018,Aaron,Cresswell,West Ham United,Newcastle United,17,15,2.0,3.0,1.1111111111111112
19,1,0,0,15.0,443,191,3,0,4.1,25.8,1,90,2,20,0,0.0,3,51,False,2017/2018,Aaron,Cresswell,West Ham United,AFC Bournemouth,17,18,3.0,3.0,1.0909090909090908
20,1,2,0,24.3,443,220,1,0,5.5,29.6,1,75,19,22,0,1.0,7,51,True,2017/2018,Aaron,Cresswell,West Ham United,West Bromwich Albion,15,19,2.0,1.0,1.2
21,0,0,0,0.0,443,208,0,0,0.0,0.0,0,0,17,22,0,0.0,0,51,False,2017/2018,Aaron,Cresswell,West Ham United,Tottenham Hotspur,15,5,1.0,1.0,1.2
22,0,0,0,19.0,443,224,1,0,2.9,9.8,1,90,8,23,0,0.0,1,51,False,2017/2018,Aaron,Cresswell,West Ham United,Huddersfield Town,11,14,4.0,1.0,1.3333333333333333
23,0,0,0,1.9,443,240,1,0,1.4,10.6,0,90,2,24,0,1.0,2,51,True,2017/2018,Aaron,Cresswell,West Ham United,AFC Bournemouth,11,12,1.0,1.0,1.1818181818181819
24,0,0,0,1.8,443,243,1,0,6.0,8.0,0,90,6,25,0,50.0,2,51,True,2017/2018,Aaron,Cresswell,West Ham United,Crystal Palace,12,13,1.0,1.0,1.1666666666666667
25,0,0,0,46.3,443,253,3,0,7.1,25.0,3,90,3,26,0,0.0,0,51,False,2017/2018,Aaron,Cresswell,West Ham United,Brighton and Hove Albion,12,13,1.0,3.0,1.3076923076923077
26,1,2,1,14.5,443,270,0,0,5.7,38.2,1,90,18,27,0,4.0,11,51,True,2017/2018,Aaron,Cresswell,West Ham United,Watford,12,11,2.0,0.0,1.2307692307692308
27,0,0,0,11.0,443,277,4,0,2.5,14.4,1,90,10,28,0,0.0,0,51,False,2017/2018,Aaron,Cresswell,West Ham United,Liverpool,13,3,1.0,4.0,1.2857142857142858
371,0,0,0,0.0,438,9,0,0,0.0,0.0,0,0,12,1,0,0.0,0,45,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Manchester United,20,1,0.0,4.0,0.0
372,0,0,0,0.0,438,15,0,0,0.0,0.0,0,0,14,2,0,0.0,0,45,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Southampton,20,7,2.0,3.0,1.0
373,0,0,0,0.0,438,26,0,0,0.0,0.0,0,0,13,3,0,0.0,0,45,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Newcastle United,20,14,0.0,3.0,0.6666666666666666
374,0,0,0,0.0,438,40,0,0,0.0,0.0,0,0,8,4,0,0.0,0,45,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Huddersfield Town,18,6,2.0,0.0,2.0
375,0,0,0,0.0,438,48,0,0,0.0,0.0,0,0,19,5,0,0.0,0,44,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,West Bromwich Albion,17,10,0.0,0.0,0.5
376,0,0,0,0.0,438,58,0,0,0.0,0.0,0,0,17,6,0,0.0,0,44,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Tottenham Hotspur,18,4,2.0,3.0,2.0
377,0,0,0,0.0,438,67,0,0,0.0,0.0,0,0,16,7,0,0.0,0,44,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Swansea City,15,18,1.0,0.0,1.6666666666666667
378,0,0,0,0.0,438,72,0,0,0.0,0.0,0,0,4,8,0,0.0,0,44,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Burnley,15,7,1.0,1.0,0.6
379,0,0,0,0.0,438,90,0,0,0.0,0.0,0,0,3,9,0,0.0,0,44,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Brighton and Hove Albion,16,12,0.0,3.0,1.25
380,0,0,0,0.0,438,95,0,0,0.0,0.0,0,0,6,10,0,0.0,0,44,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Crystal Palace,16,20,2.0,2.0,0.8333333333333334
381,0,0,0,0.0,438,109,0,0,0.0,0.0,0,0,10,11,0,0.0,0,44,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Liverpool,18,5,1.0,4.0,1.2
382,0,0,0,0.0,438,119,0,0,0.0,0.0,0,0,18,12,0,0.0,0,43,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Watford,18,8,0.0,2.0,0.7142857142857143
383,0,0,0,0.0,438,129,0,0,0.0,0.0,0,0,9,13,0,0.0,0,43,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Leicester City,18,12,1.0,1.0,1.1666666666666667
384,0,0,0,0.0,438,138,0,0,0.0,0.0,0,0,7,14,0,0.0,0,43,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Everton,18,13,0.0,4.0,0.625
385,0,0,0,0.0,438,147,2,0,3.5,35.2,0,90,11,15,6,0.0,2,43,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Manchester City,19,1,1.0,2.0,0.6666666666666666
386,0,0,1,0.0,438,159,0,0,1.3,13.2,0,90,5,16,2,0.0,5,43,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Chelsea,18,3,1.0,0.0,1.1428571428571428
387,0,1,1,0.0,438,170,0,0,1.9,18.8,0,90,1,17,3,0.0,8,43,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Arsenal,19,7,0.0,0.0,1.0
388,0,0,1,0.0,438,178,0,0,0.1,0.8,0,90,15,18,0,0.0,6,43,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Stoke City,15,17,3.0,0.0,0.9
389,0,0,0,0.0,438,190,3,0,0.7,7.2,0,90,13,19,1,0.0,1,43,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Newcastle United,17,15,2.0,3.0,1.1111111111111112
390,0,0,0,0.0,438,191,3,0,5.4,54.0,0,90,2,20,7,0.0,3,43,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,AFC Bournemouth,17,18,3.0,3.0,1.0909090909090908
391,0,0,0,0.0,438,220,1,0,1.5,14.6,0,90,19,22,2,0.0,2,43,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,West Bromwich Albion,15,19,2.0,1.0,1.2
392,0,0,0,0.0,438,208,1,0,4.1,41.4,0,90,17,22,7,0.0,4,43,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Tottenham Hotspur,15,5,1.0,1.0,1.2
393,0,0,0,0.0,438,224,1,0,0.6,5.6,0,90,8,23,1,0.0,2,43,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Huddersfield Town,11,14,4.0,1.0,1.3333333333333333
394,0,0,0,0.0,438,240,1,0,1.3,13.2,0,90,2,24,2,0.0,2,44,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,AFC Bournemouth,11,12,1.0,1.0,1.1818181818181819
395,0,0,0,0.0,438,243,1,0,1.7,17.0,0,90,6,25,2,0.0,2,44,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Crystal Palace,12,13,1.0,1.0,1.1666666666666667
396,0,0,0,0.0,438,253,3,0,1.8,17.6,0,90,3,26,2,0.0,1,44,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Brighton and Hove Albion,12,13,1.0,3.0,1.3076923076923077
397,0,0,1,0.0,438,270,0,0,2.3,23.4,0,90,18,27,4,0.0,7,44,True,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Watford,12,11,2.0,0.0,1.2307692307692308
398,0,0,0,0.0,438,277,4,0,5.6,56.4,0,90,10,28,8,0.0,2,44,False,2017/2018,Adrián,San Miguel del Castillo,West Ham United,Liverpool,13,3,1.0,4.0,1.2857142857142858
1111,0,0,0,0.0,457,9,0,0,0.0,0.0,0,0,12,1,0,0.0,0,60,False,2017/2018,Andy,Carroll,West Ham United,Manchester United,20,1,0.0,4.0,0.0
1112,0,0,0,0.0,457,15,0,0,0.0,0.0,0,0,14,2,0,0.0,0,60,False,2017/2018,Andy,Carroll,West Ham United,Southampton,20,7,2.0,3.0,1.0
1113,0,0,0,0.0,457,26,0,0,0.0,0.0,0,0,13,3,0,0.0,0,59,False,2017/2018,Andy,Carroll,West Ham United,Newcastle United,20,14,0.0,3.0,0.6666666666666666
1114,0,0,1,5.5,457,40,0,0,7.1,6.8,0,81,8,4,0,59.0,2,59,True,2017/2018,Andy,Carroll,West Ham United,Huddersfield Town,18,6,2.0,0.0,2.0
1115,0,0,1,1.8,457,48,0,0,3.0,0.0,0,81,19,5,0,30.0,2,59,False,2017/2018,Andy,Carroll,West Ham United,West Bromwich Albion,17,10,0.0,0.0,0.5
1116,0,0,0,14.0,457,58,3,0,3.0,0.0,1,62,17,6,0,19.0,1,59,True,2017/2018,Andy,Carroll,West Ham United,Tottenham Hotspur,18,4,2.0,3.0,2.0
1117,0,0,1,17.5,457,67,0,0,7.6,0.0,1,90,16,7,0,61.0,1,59,True,2017/2018,Andy,Carroll,West Ham United,Swansea City,15,18,1.0,0.0,1.6666666666666667
1118,0,0,0,0.1,457,72,1,0,0.0,0.0,0,26,4,8,0,4.0,-2,59,False,2017/2018,Andy,Carroll,West Ham United,Burnley,15,7,1.0,1.0,0.6
1119,0,0,0,0.0,457,90,0,0,0.0,0.0,0,0,3,9,0,0.0,0,59,True,2017/2018,Andy,Carroll,West Ham United,Brighton and Hove Albion,16,12,0.0,3.0,1.25
1120,0,0,0,0.0,457,95,0,0,0.0,0.0,0,0,6,10,0,0.0,0,59,False,2017/2018,Andy,Carroll,West Ham United,Crystal Palace,16,20,2.0,2.0,0.8333333333333334
1121,0,0,0,11.3,457,109,2,0,1.7,2.0,1,45,10,11,0,4.0,1,59,True,2017/2018,Andy,Carroll,West Ham United,Liverpool,18,5,1.0,4.0,1.2
1122,0,0,0,3.0,457,119,2,0,2.5,5.0,0,64,18,12,0,17.0,1,59,False,2017/2018,Andy,Carroll,West Ham United,Watford,18,8,0.0,2.0,0.7142857142857143
